movie_name,script_page_url,pdf_url
Bad Moon,https://www.scriptslug.com/script/bad-moon-1996,https://assets.scriptslug.com/live/pdf/scripts/bad-moon-1996.pdf?v=1729114865
Bad Santa,https://www.scriptslug.com/script/bad-santa-2003,https://assets.scriptslug.com/live/pdf/scripts/bad-santa-2003.pdf?v=1729114865
Bad Teacher,https://www.scriptslug.com/script/bad-teacher-2011,https://assets.scriptslug.com/live/pdf/scripts/bad-teacher-2011.pdf?v=1729114866
Bad Times at the El Royale,https://www.scriptslug.com/script/bad-times-at-the-el-royale-2018,https://assets.scriptslug.com/live/pdf/scripts/bad-times-at-the-el-royale-2018.pdf?v=1729114866
Badlands,https://www.scriptslug.com/script/badlands-1973,https://assets.scriptslug.com/live/pdf/scripts/badlands-1973.pdf?v=1729114866
The Ballad of Buster Scruggs,https://www.scriptslug.com/script/the-ballad-of-buster-scruggs-2018,https://assets.scriptslug.com/live/pdf/scripts/the-ballad-of-buster-scruggs-2018.pdf?v=1729115007
The Banshees of Inisherin,https://www.scriptslug.com/script/the-banshees-of-inisherin-2022,https://assets.scriptslug.com/live/pdf/scripts/the-banshees-of-inisherin-2022.pdf?v=1729115007
Barb and Star Go to Vista Del Mar,https://www.scriptslug.com/script/barb-and-star-go-to-vista-del-mar-2021,https://assets.scriptslug.com/live/pdf/scripts/barb-and-star-go-to-vista-del-mar-2021.pdf?v=1729114866
Barbarian,https://www.scriptslug.com/script/barbarian-2022,https://assets.scriptslug.com/live/pdf/scripts/barbarian-2022.pdf?v=1729114866
Barbershop,https://www.scriptslug.com/script/barbershop-2002,https://assets.scriptslug.com/live/pdf/scripts/barbershop-2002.pdf?v=1729114866
Barbie,https://www.scriptslug.com/script/barbie-2023,https://assets.scriptslug.com/live/pdf/scripts/barbie-2023.pdf?v=1729114866
Barton Fink,https://www.scriptslug.com/script/barton-fink-1991,https://assets.scriptslug.com/live/pdf/scripts/barton-fink-1991.pdf?v=1729114867
Basic Instinct,https://www.scriptslug.com/script/basic-instinct-1992,https://assets.scriptslug.com/live/pdf/scripts/basic-instinct-1992.pdf?v=1729114867
Basic Instinct 2,https://www.scriptslug.com/script/basic-instinct-2-2006,https://assets.scriptslug.com/live/pdf/scripts/basic-instinct-2-2006.pdf?v=1729114867
Basket Case,https://www.scriptslug.com/script/basket-case-1982,https://assets.scriptslug.com/live/pdf/scripts/basket-case-1982.pdf?v=1729114867
Batman & Robin,https://www.scriptslug.com/script/batman-robin-1997,https://assets.scriptslug.com/live/pdf/scripts/batman-and-robin-1997.pdf?v=1729114868
Batman,https://www.scriptslug.com/script/batman-1989,https://assets.scriptslug.com/live/pdf/scripts/batman-1989.pdf?v=1729114867
The Batman,https://www.scriptslug.com/script/the-batman-2022,https://assets.scriptslug.com/live/pdf/scripts/the-batman-2022.pdf?v=1729115008
Batman Begins,https://www.scriptslug.com/script/batman-begins-2005,https://assets.scriptslug.com/live/pdf/scripts/batman-begins-2005.pdf?v=1729114868
Batman Forever,https://www.scriptslug.com/script/batman-forever-1995,https://assets.scriptslug.com/live/pdf/scripts/batman-forever-1995.pdf?v=1729114868
