name,pacal_case_name,movie_name,movie_url,movie_url_extension,pacal_case_movie_name,_merge,name_error,error,pacal_case_name_error
"Bodies, Rest & Motion",bodiesrest&motion,"Bodies, Rest & Motion","https://www.dailyscript.com/scripts/Bodies,%20Rest%20&%20Motion.txt",txt,bodiesrest&motion,both,"Bodies, Rest & Motion",HTML len = 0 : no content scrapped,bodiesrest&motion
Bodyguard,bodyguard,,,,,left_only,,,
Body Heat,bodyheat,Body Heat,https://www.dailyscript.com/scripts/BodyHeat.pdf,pdf,bodyheat,both,,,
Body of Evidence,bodyofevidence,Body of Evidence,https://www.dailyscript.com/scripts/body_of_evidence.html,html,bodyofevidence,both,,,
Bones,bones,Bones,https://www.dailyscript.com/scripts/bones.html,html,bones,both,,,
Bonfire of the Vanities,bonfireofthevanities,Bonfire of the Vanities,https://www.dailyscript.com/scripts/Bonfire_Vanities.PDF,pdf,bonfireofthevanities,both,,,
Bonnie and Clyde,bonnieandclyde,,,,,left_only,,,
Boogie Nights,boogienights,,,,,left_only,,,
Bookworm,bookworm,,,,,left_only,,,
Boondock Saints 2: All Saints Day,boondocksaints2allsaintsday,,,,,left_only,,,
Bottle Rocket,bottlerocket,Bottle Rocket,https://www.dailyscript.com/scripts/bottlerocket.html,html,bottlerocket,both,,,
Bound,bound,Bound,https://www.dailyscript.com/scripts/Bound_FirstDraft.txt,txt,bound,both,,,
Boyhood,boyhood,Boyhood,https://www.dailyscript.com/scripts/Boyhood-screenplay-11-14-FINAL.pdf,pdf,boyhood,both,,,
Braveheart,braveheart,Braveheart,https://www.dailyscript.com/scripts/Braveheart.txt,txt,braveheart,both,,,
Brazil,brazil,Brazil,https://www.dailyscript.com/scripts/brazil.html,html,brazil,both,,,
Break,break,Break,https://www.dailyscript.com/scripts/Break_final.pdf,pdf,break,both,,,
Breakdown,breakdown,Breakdown,https://www.dailyscript.com/scripts/Breakdown.PDF,pdf,breakdown,both,,,
Breaking Away,breakingaway,,,,,left_only,,,
Brick,brick,,,,,left_only,,,
Bridesmaids,bridesmaids,,,,,left_only,,,
Bringing Out the Dead,bringingoutthedead,Bringing Out the Dead,https://www.dailyscript.com/scripts/bringing-out-the-dead.html,html,bringingoutthedead,both,,,
Bringing Out the Dead,bringingoutthedead,Bringing Out The Dead,https://www.dailyscript.com/scripts/Bringing+Out+The+Dead.txt,txt,bringingoutthedead,both,,,
Broadcast News,broadcastnews,Broadcast News,https://www.dailyscript.com/scripts/broadc_news.html,html,broadcastnews,both,,,
Broken Arrow,brokenarrow,,,,,left_only,,,
Broken Embraces,brokenembraces,,,,,left_only,,,
Bruce Almighty,brucealmighty,Bruce Almighty,https://www.dailyscript.com/scripts/Bruce%20Almighty.txt,txt,brucealmighty,both,,,
Buffy the Vampire Slayer,buffythevampireslayer,Buffy the Vampire Slayer,https://www.dailyscript.com/scripts/buffy_the_vampire_slayer.html,html,buffythevampireslayer,both,,,
Bull Durham,bulldurham,Bull Durham,https://www.dailyscript.com/scripts/Bull+Durham.txt,txt,bulldurham,both,,,
Buried,buried,,,,,left_only,,,
Burlesque,burlesque,,,,,left_only,,,
Burn After Reading,burnafterreading,,,,,left_only,,,
Burning Annie,burningannie,,,,,left_only,,,
Cable Guy,cableguy,,,,,left_only,,,
Candle to Water,candletowater,,,,,left_only,,,
Capote,capote,Capote,https://www.dailyscript.com/scripts/Capote.pdf,pdf,capote,both,,,
Carrie,carrie,,,,,left_only,,,
Cars 2,cars2,,,,,left_only,,,
Casablanca,casablanca,Casablanca,https://www.dailyscript.com/scripts/casablanca.pdf,pdf,casablanca,both,Casablanca,"Webstatus : 404
",casablanca
Case 39,case39,,,,,left_only,,,
Casino,casino,Casino,https://www.dailyscript.com/scripts/casino.html,html,casino,both,,,
Cassandro,cassandro,,,,,left_only,,,
Cast Away,castaway,Cast Away,https://www.dailyscript.com/scripts/CastAway.txt,txt,castaway,both,,,
Catch Me If You Can,catchmeifyoucan,,,,,left_only,,,
